,,,1.18E-04,2.795061118,,,,,1.18E-04,2.15E+00
,,,1.19E-04,2.815714447,,,,,1.19E-04,2.11E+00
,,,1.20E-04,2.958997537,,,,,1.20E-04,2.10E+00
,,,1.21E-04,2.801007782,,,,,1.21E-04,1.97E+00
,,,1.22E-04,2.757174162,,,,,1.22E-04,2.16E+00
,,,1.23E-04,3.04625417,,,,,1.23E-04,1.99E+00
,,,1.24E-04,2.754910683,,,,,1.24E-04,2.00E+00
,,,1.25E-04,2.917621445,,,,,1.25E-04,2.15E+00
,,,1.26E-04,3.005809489,,,,,1.26E-04,2.40E+00
,,,1.27E-04,2.886039773,,,,,1.27E-04,2.15E+00
,,,1.28E-04,3.117970315,,,,,1.28E-04,2.21E+00
,,,1.29E-04,3.106733616,,,,,1.29E-04,2.24E+00
,,,1.30E-04,3.066952204,,,,,1.30E-04,2.24E+00
,,,1.31E-04,2.97036494,,,,,1.31E-04,2.08E+00
,,,1.32E-04,3.08502435,,,,,1.32E-04,2.19E+00
,,,1.33E-04,3.194586094,,,,,1.33E-04,2.18E+00
,,,1.34E-04,3.277703456,,,,,1.34E-04,2.35E+00
,,,1.35E-04,3.041891118,,,,,1.35E-04,2.30E+00
,,,1.36E-04,3.086454166,,,,,1.36E-04,2.45E+00
,,,1.37E-04,3.04333453,,,,,1.37E-04,2.23E+00
,,,1.38E-04,3.105121725,,,,,1.38E-04,2.48E+00
,,,1.39E-04,3.236375017,,,,,1.39E-04,2.60E+00
,,,1.40E-04,3.272067439,,,,,1.40E-04,2.57E+00
,,,1.41E-04,3.354342171,,,,,1.41E-04,2.55E+00
,,,1.42E-04,3.368659934,,,,,1.42E-04,2.39E+00
,,,1.43E-04,3.231524279,,,,,1.43E-04,2.70E+00
,,,1.44E-04,3.300569206,,,,,1.44E-04,2.49E+00
,,,1.45E-04,3.342788334,,,,,1.45E-04,2.59E+00
,,,1.46E-04,3.624559952,,,,,1.46E-04,2.61E+00
,,,1.47E-04,3.416252171,,,,,1.47E-04,2.60E+00
,,,1.48E-04,3.480810526,,,,,1.48E-04,2.85E+00
,,,1.49E-04,3.454991696,,,,,1.49E-04,2.73E+00
,,,1.50E-04,3.642237706,,,,,1.50E-04,2.79E+00
,,,1.51E-04,3.621817986,,,,,1.51E-04,2.82E+00
,,,1.52E-04,3.745223427,,,,,1.52E-04,2.71E+00
,,,1.53E-04,3.725220137,,,,,1.53E-04,2.80E+00
,,,1.54E-04,3.763830624,,,,,1.54E-04,2.88E+00
,,,1.55E-04,3.617142513,,,,,1.55E-04,2.88E+00
,,,1.56E-04,4.113323767,,,,,1.56E-04,2.89E+00
,,,1.57E-04,3.830025614,,,,,1.57E-04,2.93E+00
,,,1.58E-04,3.77874957,,,,,1.58E-04,3.33E+00
,,,1.59E-04,3.988128669,,,,,1.59E-04,2.93E+00
,,,1.60E-04,3.89387388,,,,,1.60E-04,3.12E+00
,,,1.61E-04,3.912842252,,,,,1.61E-04,3.02E+00
,,,1.62E-04,3.985511709,,,,,1.62E-04,3.13E+00
,,,1.63E-04,3.919440675,,,,,1.63E-04,3.22E+00
,,,1.64E-04,4.022718625,,,,,1.64E-04,3.36E+00
,,,1.65E-04,4.004932514,,,,,1.65E-04,3.39E+00
,,,1.66E-04,4.009999501,,,,,1.66E-04,3.16E+00
,,,1.67E-04,4.031887,,,,,1.67E-04,3.36E+00
,,,1.68E-04,4.137816291,,,,,1.68E-04,3.41E+00
,,,1.69E-04,4.188098919,,,,,1.69E-04,3.57E+00
,,,1.70E-04,4.064374736,,,,,1.70E-04,3.45E+00
,,,1.71E-04,4.218690769,,,,,1.71E-04,3.44E+00
,,,1.72E-04,4.292952223,,,,,1.72E-04,3.52E+00
,,,1.73E-04,4.334556718,,,,,1.73E-04,3.62E+00
,,,1.74E-04,4.484927019,,,,,1.74E-04,3.67E+00
,,,1.75E-04,4.305345577,,,,,1.75E-04,3.91E+00
,,,1.76E-04,4.480831699,,,,,1.76E-04,3.79E+00
,,,1.77E-04,4.518676559,,,,,1.77E-04,3.72E+00
,,,1.78E-04,4.468247027,,,,,1.78E-04,3.79E+00
,,,1.79E-04,4.379266787,,,,,1.79E-04,4.06E+00
,,,1.80E-04,4.439733535,,,,,1.80E-04,3.85E+00
,,,1.81E-04,4.605893993,,,,,1.81E-04,3.95E+00
,,,1.82E-04,4.400236738,,,,,1.82E-04,3.98E+00
,,,1.83E-04,4.517156931,,,,,1.83E-04,3.95E+00
,,,1.84E-04,4.711390665,,,,,1.84E-04,4.16E+00
,,,1.85E-04,4.501694038,,,,,1.85E-04,4.14E+00
,,,1.86E-04,4.679355145,,,,,1.86E-04,4.20E+00
,,,1.87E-04,4.584556637,,,,,1.87E-04,4.17E+00
,,,1.88E-04,4.675892013,,,,,1.88E-04,4.16E+00
,,,1.89E-04,4.78735713,,,,,1.89E-04,4.14E+00
,,,1.90E-04,4.665716871,,,,,1.90E-04,4.33E+00
,,,1.91E-04,4.764862864,,,,,1.91E-04,4.32E+00
,,,1.92E-04,4.791363326,,,,,1.92E-04,4.35E+00
,,,1.93E-04,4.93759653,,,,,1.93E-04,4.43E+00
,,,1.94E-04,4.917407583,,,,,1.94E-04,4.47E+00
,,,1.95E-04,4.888261745,,,,,1.95E-04,4.52E+00
,,,1.96E-04,4.964501517,,,,,1.96E-04,4.49E+00
,,,1.97E-04,4.714452372,,,,,1.97E-04,4.46E+00
,,,1.98E-04,4.963665846,,,,,1.98E-04,4.62E+00
,,,1.99E-04,4.983881839,,,,,1.99E-04,4.60E+00
,,,2.00E-04,4.935663257,,,,,2.00E-04,4.42E+00
,,,2.01E-04,5.04415806,,,,,2.01E-04,4.52E+00
,,,2.02E-04,4.996235901,,,,,2.02E-04,4.59E+00
,,,2.03E-04,5.206434428,,,,,2.03E-04,4.64E+00
,,,2.04E-04,5.10039402,,,,,2.04E-04,4.71E+00
,,,2.05E-04,5.167527325,,,,,2.05E-04,4.85E+00
,,,2.06E-04,5.044634411,,,,,2.06E-04,4.79E+00
,,,2.07E-04,5.307546087,,,,,2.07E-04,4.79E+00
,,,2.08E-04,5.240578235,,,,,2.08E-04,4.72E+00
,,,2.09E-04,5.07104944,,,,,2.09E-04,4.71E+00
,,,2.10E-04,5.299377532,,,,,2.10E-04,4.83E+00
,,,2.11E-04,5.445033717,,,,,2.11E-04,4.86E+00
,,,2.12E-04,5.374357881,,,,,2.12E-04,4.58E+00
,,,2.13E-04,5.368781134,,,,,2.13E-04,4.86E+00
,,,2.14E-04,5.330395786,,,,,2.14E-04,4.96E+00
,,,2.15E-04,5.504511476,,,,,2.15E-04,5.06E+00
,,,2.16E-04,5.26669292,,,,,2.16E-04,5.05E+00
